company_name,location
小沃科技有限公司,上海市杨浦区大连路688号1701(名义楼层为20层)
上海风神环境设备工程有限公司,上海市杨浦区国康路100号702
上海瑞桥土木工程咨询有限公司,上海市杨浦区国康路100号1106室
上海闸电东海电力工程有限公司,上海市杨浦区军工路4000号
上海复旦申花净化技术股份有限公司,上海市国泰路127弄1号1号楼1021室
上海复志信息技术有限公司,上海市杨浦区国定路323号901-73室
上海水生科技股份有限公司,上海市杨浦区军工路300号生活楼213室
上海易城工程顾问股份有限公司,上海市杨浦区平凉路988号1号楼6009室
上海万申信息产业股份有限公司,上海市国康路38号
上海沐月信息技术发展有限公司,上海市杨浦区国康路100号1002G室
上海汉邦京泰数码技术有限公司,上海市杨浦区四平路2158号1007室
上海酷芯微电子有限公司,上海市杨浦区淞沪路308号501室
上海安可科技股份有限公司,上海市杨浦区国定路335号10008-1室
上海信数科技有限公司,上海市杨浦区国通路127号16层(集中登记地)
上海欧萨评价咨询股份有限公司,上海市杨浦区平凉路720号6幢5楼
因朔桔（上海）智能科技有限公司,上海市杨浦区长阳路2588号2幢2楼(集中登记地)
上海同济城市规划设计研究院有限公司,上海市杨浦区国康路38号4幢同济规划大厦10-15层
上海济鼎实业有限公司,上海市杨浦区国康路100号802I室
上海长凯岩土工程有限公司,上海市杨浦区水丰路42号8楼
上海达坦能源科技股份有限公司,上海市杨浦区政立路497号1807室
上海欧坚网络发展集团股份有限公司,上海市杨浦区平凉路1000号13楼1301室
上海市政建设有限公司,上海市杨浦区国权北路1688弄5号501室
上海都市再生实业有限公司,上海市杨浦区锦西路69号414A2室
上海南一环保科技有限公司,上海市杨浦区中山北二路1121号1402-B2室
上海三凯工程咨询有限公司,上海市杨浦区松花江路251弄1号303室
径卫视觉科技（上海）有限公司,上海市杨浦区中山北二路1121号105Q室
上海济丽信息技术有限公司,上海市杨浦区逸仙路25号2层(集中登记地)
上海华源磁业股份有限公司,上海市杨浦区国权北路1688弄33号201009室
上海兆言网络科技有限公司,上海市杨浦区国通路127号16层(集中登记地)
上海华东发展城建设计（集团）有限公司,上海市杨浦区黄兴路2005弄2号楼511室
