遇益贸易有限公司,公司企业;公司;商业贸易,大学路259号201室(江湾体育场地铁站9号口步行380米),121.508609,31.303489
日晟装饰,公司企业;公司;广告装饰,国和路1011号,121.527577,31.318167
中沪红蚂蚁装潢总部,公司企业;公司企业;公司企业,黄兴路1846号3楼,121.519729,31.292490
舒恒装饰设计,公司企业;公司;公司,五角场镇沙岗路474号,121.537521,31.298159
晓纪广告有限公司,公司企业;公司;广告装饰,江浦路街道通北路888号,121.514998,31.265019
室益装潢,公司企业;公司;广告装饰,开鲁路322-8号,121.535260,31.324948
上海凌紫物业管理有限公司(抚顺路),公司企业;公司;公司,抚顺路113号2层,121.519064,31.282088
宋飞装潢,公司企业;公司;广告装饰,开鲁路20-1号,121.542402,31.324882
上海中远物业管理发展有限公司,公司企业;公司;公司,四平路1128、1188号远洋广场24层,121.504716,31.278101
红宝石(控江店),公司企业;公司;公司|餐饮服务;糕饼店;糕饼店|购物服务;专卖店;专营店,控江路建设银行旁(江浦路地铁站2号口步行80米),121.517472,31.274507
于洋装饰(杨浦店),公司企业;公司;广告装饰,黄兴路1423号,121.523375,31.282061
上海园林工程设计有限公司,公司企业;公司;公司,大连路950海上海新城商务楼8号楼16层1605,121.507573,31.265411
富礼德(上海)礼仪服务有限公司,公司企业;公司;公司,国定路335号上海复旦科技园创业中心11层1106,121.508578,31.296968
上海电力大学微程电气设备有限公司,公司企业;公司;公司,平凉路2109号,121.547629,31.271761
上海摄月电子电器有限公司,公司企业;公司;机械电子,大连路970号海上海新城商务楼9号楼1902室,121.507383,31.265939
上海梅林食品有限公司,公司企业;公司;公司,军工路224号,121.558315,31.284381
上海自考网,公司企业;公司;公司,国定路335号复旦大学创业科技园2号楼,121.508474,31.297493
上海浪漫爱都礼仪服务有限公司,公司企业;公司;公司|生活服务;生活服务场所;生活服务场所,大连路1548号莱克商务中心510室,121.503721,31.273406
上海卫百辛集团延吉物业管理有限公司(松花江路分公司),公司企业;公司;公司,松花江路448临附近,121.529246,31.288570
兴兰装潢(黄兴路),公司企业;公司;建筑公司|公司企业;公司;广告装饰,黄兴路1425号-1,121.523348,31.282217
上海恒达装潢工程有限公司,公司企业;公司;广告装饰,军工路1065号800-1620号,121.545902,31.297326
上海日亚船用泵阀制造有限公司,公司企业;公司;公司|购物服务;专卖店;专营店,杨树浦路1149号(丹阳路地铁站2号口步行300米),121.533231,31.253469
翌嘉装潢,公司企业;公司;广告装饰,五角场镇营口路856号(翔殷路地铁站3号口步行340米),121.532133,31.301620
上海昕多装饰,公司企业;公司;公司,市光路1364号上海诚实装潢有限公司,121.541807,31.321753
韵胜装潢,公司企业;公司;广告装饰,周家嘴路2057号,121.515819,31.267262
上海金雁工艺印章有限公司,公司企业;公司;公司,靖宇东路95号,121.539943,31.290815
