杨浦小学,科教文化服务;学校;小学,安波路991号(近双阳路),121.525449,31.300667
复旦大学附属小学,科教文化服务;学校;小学,政修路130号,121.505355,31.292306
市光新村第一小学,科教文化服务;学校;小学,市光一村88号,121.535632,31.317628
控江二村小学分校,科教文化服务;学校;小学,双阳路190号(近双阳支路),121.536253,31.273693
上海市铁岭中学,科教文化服务;学校;中学,鞍山路300号(鞍山路鞍山支路),121.510448,31.279313
上海体育学院附属中学,科教文化服务;学校;中学,周家嘴路4220号,121.55132,31.283494
上海理工大学附属中学,科教文化服务;学校;中学,水丰路247号,121.538538,31.28559
许昌路第五小学,科教文化服务;学校;小学,许昌路1501号(近控江路),121.511983,31.272338
国和小学,科教文化服务;学校;小学,国和二村188号甲(市光路地铁站3号口步行360米),121.52902,31.321063
上海市市光学校,科教文化服务;学校;小学,市光路163号,121.541221,31.321026
六一小学,科教文化服务;学校;小学,政通路25号,121.521931,31.305145
复旦大学附属中学,科教文化服务;学校;中学,国权路383号,121.505884,31.290313
上海市建设初级中学,科教文化服务;学校;中学,三星路55号,121.540112,31.263451
上海市控江初级中学,科教文化服务;学校;中学,永吉路118号(延吉中路地铁站3号口步行480米),121.532136,31.286042
同济大学附属存志学校,科教文化服务;学校;中学,许昌路1474号,121.514457,31.270838
上海市杨浦小学分校,科教文化服务;学校;小学,长阳路1421号(宁国路地铁站5号口步行270米),121.529079,31.268075
上海理工大学附属小学,科教文化服务;学校;小学,靖宇东路158(近安图路),121.53991,31.291803
控江二村小学,科教文化服务;学校;小学,双阳路650号,121.528052,31.287127
上海市黄兴学校,科教文化服务;学校;中学,松花江路控江四村107号(黄兴路路口),121.5249,31.285397
上海市新大桥中学,科教文化服务;学校;中学,眉州支路77号(宁国路地铁站1号口步行190米),121.531214,31.269925
凯慧中学,科教文化服务;学校;中学,大连路1530号(控江路附近),121.50547,31.272218
上海外国语大学附属双语学校,科教文化服务;学校;中学,控江靖宇南路15号上海外国语大学,121.527763,31.280386
上海师范大学附属杨浦滨江实验小学,科教文化服务;学校;小学,顺平路398号(爱国路地铁站4号口步行440米),121.548577,31.280553
上海市杨浦区教育学院实验小学,科教文化服务;学校;小学,凤城路30号(黄兴路地铁站3号口步行490米),121.525053,31.276377
许昌路第五小学(东部),科教文化服务;学校;小学,鞍山新村地铁站2号出口步行320米,121.512060,31.272533
平凉路第三小学分部,科教文化服务;学校;小学,杨树浦路3055号平凉路,121.558943,31.273724
工农新村小学,科教文化服务;学校;小学,工农三村65号,121.534247,31.322906
