应急掩蔽场所,公共设施;紧急避难场所;紧急避难场所,通北路与飞虹路交叉口西南200米,121.511458,31.265630
应急掩蔽场所(福阳大厦东北),公共设施;紧急避难场所;紧急避难场所,国权东路111号附近,121.524400,31.289784
应急掩蔽场所(密云小区东区东),公共设施;紧急避难场所;紧急避难场所,密云路东200米,121.498467,31.278666
应急掩蔽场所(新纪元国际广场东南),公共设施;紧急避难场所;紧急避难场所,黄兴路1625号附近,121.520786,31.287075
应急掩蔽场所(华丰大楼东),公共设施;紧急避难场所;紧急避难场所,国顺路128弄-5-2,121.514958,31.290860
应急掩蔽场所(吴家浜小区东北),公共设施;紧急避难场所;紧急避难场所,飞虹路南100米,121.510157,31.265390
应急掩蔽场所(泰鸿苑东),公共设施;紧急避难场所;紧急避难场所,江浦路1199弄29号,121.518832,31.268371
应急掩蔽场所(三湘世纪花城东南),公共设施;紧急避难场所;紧急避难场所,逸仙路519号,121.487193,31.300625
应急避难场所(双辽路),公共设施;紧急避难场所;紧急避难场所,江浦路1665号附近,121.518269,31.271763
应急掩蔽场所(企航商务南),公共设施;紧急避难场所;紧急避难场所,国顺东路与营口路交叉口西北200米,121.531243,31.299119
应急掩蔽场所(昌大公寓西),公共设施;紧急避难场所;紧急避难场所,飞虹路600弄,121.509390,31.266261
应急掩蔽场所(华晖绿苑东北),公共设施;紧急避难场所;紧急避难场所,宁国路313号附近,121.535841,31.264696
应急掩蔽场所(控江医院西),公共设施;紧急避难场所;紧急避难场所,永吉路268号附近,121.530063,31.282070
应急避难场所(安波路),公共设施;紧急避难场所;紧急避难场所,安波路151号,121.537074,31.304329
应急避难场所(包头路),公共设施;紧急避难场所;紧急避难场所,包头路765弄11号,121.537870,31.322777
紧急避难场所(安浦路),公共设施;紧急避难场所;紧急避难场所,安浦路与怀德路交叉口东南100米,121.530188,31.251357
应急避难场所(创智天地东南),公共设施;紧急避难场所;紧急避难场所,政学路77号附近,121.509594,31.305943
紧急避难场所(凤城四村小区北),公共设施;紧急避难场所;紧急避难场所,内环高架路入口与黄兴路交叉口西南约140米,121.521301,31.284136
应急掩蔽场所(万达广场写字楼A座北),公共设施;紧急避难场所;紧急避难场所,政通路189号,121.512853,31.302347
应急掩蔽场所(凤城四村小区西北),公共设施;紧急避难场所;紧急避难场所,中山北二路大运盛城,121.519780,31.284719
应急掩蔽场所(东方名园南),公共设施;紧急避难场所;紧急避难场所,黄兴路888号附近,121.524991,31.280695
应急掩蔽场所(爱婴医院南),公共设施;紧急避难场所;紧急避难场所,控江路附近,121.517175,31.273563
应急避难场所(新华医院8号楼南),公共设施;紧急避难场所;紧急避难场所,江浦路1673附近,121.518105,31.272950
应急掩蔽场所(市东医院分院北),公共设施;紧急避难场所;紧急避难场所,营口路760-762号附近,121.533774,31.296752
应急避难场所(鞍山路),公共设施;紧急避难场所;紧急避难场所,鞍山路230号,121.509668,31.278810
应急掩蔽场所(福阳小区东),公共设施;紧急避难场所;紧急避难场所,松花江路104附近,121.526813,31.287700
应急掩蔽场所(宁武路),公共设施;紧急避难场所;紧急避难场所,平凉路1844附近,121.542806,31.269485
应急掩蔽场所(国顺路),公共设施;紧急避难场所;紧急避难场所,四平路1950弄23-1号,121.512715,31.290810
应急掩蔽场所(政立路),公共设施;紧急避难场所;紧急避难场所,政立路1579-1581号附近,121.488502,31.308642
应急掩蔽场所(国定路),公共设施;紧急避难场所;紧急避难场所,国定路97号附近,121.514849,31.293584
