海上海.弘基休闲广场C,风景名胜;公园广场;城市广场,大连路431附近,121.507725,31.266778
机器人公园,风景名胜;公园广场;水族馆,江浦路1536号(江浦路地铁站3号口步行230米),121.517809,31.276978
明园苑,风景名胜;公园广场;公园,许昌路与长阳路交叉口东约60米,121.520386,31.262607
唐家塔口袋公园,风景名胜;公园广场;公园,源泉路150号(黄兴路地铁站1号口步行230米),121.530518,31.278564
紫藤广场,风景名胜;公园广场;城市广场,中原工农新村小学(市光路地铁站东),121.534984,31.323444
邻睦广场,风景名胜;公园广场;城市广场,松花江路上海理工大学附属小学西北侧约120米,121.538725,31.293157
阿里社区体育广场,风景名胜;公园广场;城市广场,安图路延吉四村社区,121.538929,31.292939
海上海无限可能广场,风景名胜;公园广场;城市广场,大连路990弄,121.507481,31.266859
科普广场,风景名胜;公园广场;城市广场,中原路工农三村(市光路地铁站2号口步行90米),121.532269,31.321727
硕园,风景名胜;风景名胜相关;旅游景点,市光一村68甲,121.535492,31.316249
杨家浜休闲广场,风景名胜;公园广场;城市广场,控江路874弄1-24号(控江路874弄小区),121.535720,31.283490
珠江生活广场,风景名胜;公园广场;城市广场,平凉路1889号,121.544138,31.269314
